,date,title,rate,comment
1936,2019-07-11,対応が早く良かった。,5.0,引っ越し先が極めて近い場所でしたので、大物家具の移動だけお願いする為に安い業者さんを探していてハートさんが圧倒的に見積もり額が安かったです。来てくれた3人のスタッフもとても爽やかで、テキパキとしていました。若いのにすごく頼りになるリーダーが指示していたので感心するばかりでした。忙しかったので、電話口で運ぶ物の確認をしてすぐに値段を伝えてくれたのも決め手となりました。他の業者さんは訪問見積もりしてからだったので。不満点は１つだけ。洗濯機の接続を別料金払って申し込みましたが、接続だけ別の方が来るとは聞いておらず荷物の運び込みが終わった後、出掛けてしまい接続をしてもらえなかったです。後の電話で別の接続の方が来る事を知りましたがすでに自分で説明書を見て接続しました。それ以外は大満足でした。
1938,2019-07-12,丁寧 迅速かつ的確,5.0,料金も予定した金額以内に上の方と相談し頑張って下さいました。また、引っ越し当日には、4人のチームワークが良くてテキパキ動いていましたし最後に何点か余分にお願いしたら嫌な顔一つせず受けて下さったので本当に助かりました‼︎これから引っ越しを検討されている方に、引っ越し専門業者なのでハート引越センターさんオススメです‼︎
1933,2019-07-12,引っ越し当日、迅速だった。,3.75,テキパキ動いてもらえて良かった！！とは思ったが、引っ越しが終わってから冷蔵庫を見るとぶつけた箇所が相当にあり、ぼこぼこになっていたのでショックを受けました。でも…安いと言うことはこういうことなんだね！と夫と話し合いました。
1943,2019-07-12,見積りは早い。,3.5,電話で持っていく家具を連絡したら見積りはすぐ出ました。エアコンの除去・取付も頼みましたが、後日連絡と言われてから直前まで決まりませんでした。二回催促してようやく連絡がきて日程調整になりました。作業員さんは仕事が早かったです。また、実際より段ボールが増えてしまいましたが、見積りそのままでやってくれました。
1940,2019-07-13,大変好感が持てる会社と思います。,4.5,今回は、単身赴任のからの帰任で会社規定により引っ越し見積りを数社お願いしました。ハート引越センターは、見積り対応頂いた営業の方も、非常に丁寧で、不用品の処分等にも細かに相談に乗って居た頂き、最も費用が低減できる提案を頂き、結果３社比で内容金額と問題無く決定に至りました。当日の作業員の方も、気配り目配りが素晴らしく、本当に感謝しております。神奈川から栃木への引っ越しでしたが、当日の荷出しで当日搬入を、本当に迅速且つ正確に対応頂き、家内も本当に喜んでいました。今後も機会が有れば、お願いしたいと思います。
1937,2019-07-13,オプションのエアコン工事が残念です,5.0,見積り、引越作業の対応は大変満足しています。暑いなか大汗をかきながらも笑顔で、丁寧迅速に作業されました。しかし、エアコン取り外し工事が最悪。引越当日工事希望が、業者都合により前日取り外しとなり（二転三転の変更後）、エアコン基盤に水がかかった可能性あるので、取り付けは翌日になりました。前もってエアコンを止める注意をいただくとか、水がかからない運搬をしていただきたい。取り付けのかたは精一杯、作業してくれましたが、引越全体の印象は下がりました。
1932,2019-07-14,低価格でお客さま目線の会社である印象,4.0,全般的に良かったが、洗濯機などの重量物を一人でも運ぶなど壁などへ接触しないか気になった部分があった。早さも大事だが、重量物はやはり二人で運ぶなど万が一を考え配慮は必要と思いました。
1928,2019-07-16,担当者と電話がつながりにくい,3.5,【見積もり時の対応】担当者は話しやすかった。【料金】他者と比べて、安価であった【作業内容】作業人数が多く、作業時間は早かったが、作業が雑な面が多々あり、不安な思いをした。【全体的な評価】価格が安い分、作業が雑なのは仕方がないと思う気もするがもう少し丁寧に作業を行うべき。【良かった点】価格が安い事。段取りがよく作業が早い事。【気になった点】モノの引き取りの際、靴下で玄関を出たりしており、引越し先にて、靴下を変えるのかと思ったが変えずそのまま砂のついた汚い靴下で部屋にあがっていたので、気になった。また養生もなしで作業を行おうとしていたので、注意した。
1919,2019-07-17,お客さんの要望にできる限り応えようとしてくれた,4.75,有名アニメの船のプラモデルを、どう梱包していいか困ってたら、皆さんで段ボールを加工して安全に運べるように梱包してくださり、また大事に取り扱ってくださり、本当に嬉しかったです。皆さん手際も良いので、早く片付き言うことなしです。
1913,2019-07-18,お客様視点,4.5,お客様視点での提案・対応は良かったが、引っ越し開始時間が引っ越し日前日の午後以降の連絡のために、近隣あいさつ・親戚あいさつ・関係者あいさつ・子どものお別れ・会社の休暇取得などの調整に大変苦慮したので、引っ越し日の前々日にして欲しかった。
