,date,rate,comment,result
3910,2024-04-04,5.0,高槻店の前田さんには丁寧な説明、提案をして頂き大変感謝しています。プロらしい対応で、信頼出来る方だと感じました。今回は諸事情で契約に至りませんでしたが次回何か機会あればお世話になりたいという気持ちです。,0
3909,2024-04-04,4.3,他社で決めかけていましたが、営業担当の熱意に負けました。,1
3908,2024-04-04,4.0,営業担当の方はとても物腰が柔らかく、安心感がありました。また機会あればお世話になりたいです。,0
3907,2024-04-04,4.3,丁寧に話を聞いてくれて対応も早かったです。ほぼ希望金額で買取って頂きました。,1
3906,2024-04-04,3.5,査定価格に幅があり希望金額にはなりませんでしたが、気持ちのいい担当者様でした。縁があったら次回お願いします。七papa様この度は弊社OneForAllをご利用頂き誠に有難うございます。査定価格ご希望に添えられず申し訳ありません、、次回はすべて満点評価頂けるように精一杯頑張らせていただきます。今後とも宜しくお願い致します。,0
3905,2024-04-04,5.0,若い割にはしっかりと査定する担当者で、満足できました。,1
3904,2024-04-04,5.0,３社集まりその場で希望売却価格を伝えたら対応できず残念でした。kimutaka様口コミ投稿、ありがとうございます。この度は、お力になれず申し訳ございません。また機会ございましたら宜しくお願い致します。,0
3903,2024-04-04,5.0,３社集まりその場で希望売却価格を伝えたら対応できず残念でした。kimu　taka様様、口コミへのご投稿ありがとうございます。希望の金額に対応出来ず申し訳ございません。金額がご納得いただけるよう邁進して参ります。,0
3901,2024-04-04,4.2,丁寧に対応していただきましたが、今回は値段が折り合わず売却には至りませんでした．この度はコメント頂きまして、ありがとうございます。最終的に他社様に金額届きませんでしたがまた機会があればリベンジできたらとおもいます。この度はありがとうございました。,0
3900,2024-04-04,0.5,今回唯一、訪問で来てくれなかった先。来てくれるなら査定しますと言われ唖然とした。,0
3899,2024-04-04,1.7,家まで来てくれたまでは良かったが、当日、家の目の前に車を停めたため、こちらも玄関を出て車の前まで出たが、目線があいながら車から出てこない。雨の中、傘をさして待っても出てこない。なぜ？その間にもう1社の方が来て、そちらはすぐにご挨拶いただく。その後ようやく出てきて、いきなり説明も無しに上司の電話に出て下さいと携帯を渡される、なぜ？到着確認？そして査定後も早く売ってくれればこの査定ですよの一点張り。対応にガッカリした。,0
3898,2024-04-04,5.0,担当者の河野さんが人物的にも、ビジネスマンとしても素晴らしい対応だった。不祥事がある中で真摯な対応。その後こちらの都合に合わせてご連絡や、やり取りをさせていただき大変ありがとうございました。またディーラーに下取り依頼時は、当初85万円。先にMOTAに依頼をして査定価格を聞いた上でディーラー価格を聞いたので唖然としました。ディーラーに買取は危険レベルですね。結局、買取業者価格を提示すると、150万円が限界ですと言われ、本当にMOTAに頼んで良かったです！ありがとうございます！また河野さんにも大変お世話になりました！,1
3897,2024-04-04,5.0,Web回答の最高額で買取して頂けた。年度末ギリギリの買取だったため、R6の自動車税も払ってくれるとのこと。ただ契約書があっさりしてたので、車を引き取られてから入金されるまで少し不安でした。入金は2営業日でしてくれたので早かったと思います。,1
3896,2024-04-04,5.0,値段、めいっぱい頑張ってもらえたので大満足です。接客対応もとても良い。,1
3902,2024-04-04,5.0,連絡後すぐ丁寧に対応していただき、手続きも問題ありませんでした。,1
3894,2024-04-04,5.0,売却まで急いでいる中、迅速かつ丁寧な対応でとても良かったです。,1
3895,2024-04-04,5.0,車に傷やへこみがありましたが満足行く金額で対応して貰いました。担当の方も親切で丁寧に対応してくれて気分良く売却出来ました。,1
