at,score,content
2022-07-04 21:36:52,1,"They manipulate rate on based what u pickup last. My friend share load with me for $3300 and when I open that load only shows me $2740 bcz I have RATE ON FILE(with different lane but they think I can take all load for 2700 lol) when I call Them to remove rate on file & they said someone will contact me, never heard from Them. Never haul load since that day. They r cheapest Paying broker ever. I ask my friend what u pay for ship he Said $6k &Uber pays me $1130 & Uberfreight ripping off everyone"
2022-06-28 04:11:43,5,0$à
2022-06-27 11:24:38,5,Finally got in and it is awesome!
2022-06-24 14:17:19,5,Great Application.
2022-06-23 23:17:38,1,Accessing the app has been a nightmare
2022-06-23 15:26:44,1,When I put in my information to sign up all it say is loading & be stuck saying that for hrs
2022-06-22 21:50:31,5,We love working with Uber Freight
2022-06-22 18:49:22,1,"Owner operator, be careful with this people, they don't pay at all... I did a run for the. 5 weeks ago, never told me I have to update bank account to get pay, 1 week later I update the Information with the bank account Information and as right now 5 weeks and half and still don't have received my money on the bank... I called them again today and they say they don't haven't update the information. This is really bad experience with Uber Freight I belive I won't NEVER WORK WITH THEM AGAIN°°!!"
2022-06-21 20:15:12,1,"Bare minimum pay. Flaming hoops to jump through for detention, etc. Very few options for contact, etc., within the app. Uber doesn't understand trucking. They only understand their own bottom line. WHERE'S MY TONU, YOU PIECES OF GARBAGE?"
2022-06-20 02:48:56,5,Good company!
2022-06-12 19:12:17,5,Very good for work
2022-06-12 18:32:30,1,"Absolutely horrible. Doesn't load at all. Just sort with ""Loading..."" displayed. I literally plugged my phone in to keep charge and over an hour later it said the same thing. No change. If I got a load on here as often as I get unwanted automated spam emails, I'd be rich."
2022-06-05 05:43:55,1,Sucks spam and fraud
2022-06-03 15:12:18,1,"Uber is the only one that's keeping us working with dedicated loads. However when they mess up they don't compensate the driver & they take weeks to pay you for thier mistake. I've been waiting to get paid for a load that we delivered May 27, 2022 They don't want to pay us for redelivery either. I'm so upset with them !!"
2022-06-03 00:03:20,5,1st load and I'm loving the selections!!!
2022-06-01 10:57:43,1,No working
2022-05-28 13:27:29,5,It looks like it's easy
2022-05-24 20:20:34,5,Good
2022-05-17 23:43:18,1,Doing market research to see what load boards I'm going to use... the ones that don't let me see anything without coughing up info first are eliminated. ✌
2022-05-17 18:16:26,1,"Updating old review on:05/17/2022 Extremely low rates, you guys donts have trucks but we do . FYI diesel is $6.55/gallon nationwide and your rates are stil $1.80 rpm 2.00 RPM . we truckers truly think and believe you ""UberFreight "" is making money and we're wasting our time and money by running your loads. stop RIPPING US off."
2022-05-17 00:22:22,1,Trash. just as other uber apps....
2022-05-16 14:05:41,2,Not tha great
2022-05-13 20:40:32,5,Easy to use
